เพศ,ช่วงอายุ,สถานภาพ,กิจกรรมที่ใช้สมาร์ทโฟนมากที่สุด 3 อันดับ,ท่านใช้แอปพลิเคชันใดบ้างเป็นประจำ?,ท่านใช้สมาร์ทโฟนนานเท่าใดในหนึ่งวัน,สมาร์ทโฟนสำคัญในชีวิตประจำวันอย่างไร,ยี่ห้อสมาร์ทโฟนที่ใช้งานในปัจจุบัน,ปัจจัยที่พิจารณาเมื่อซื้อสมาร์ทโฟนออนไลน์มากที่สุด,ความพึงพอใจจากยี่ห้อสมาร์ทโฟนที่ใช้ในปัจจุบัน,ปัญหาในการซื้อสมาร์ทโฟนออนไลน์,รายได้ต่อเดือน,อาชีพ
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",TikTok,3 - 5 ชั่วโมง,จำเป็น,Apple,รีวิวสินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Spotify, TikTok",มากกว่า 5 ชั่วโมง,จำเป็น,Apple,รีวิวสินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube",3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย","Instagram, YouTube, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",3 - 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Samsung,รีวิวสินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม","Facebook, YouTube",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,HUAWEI,ฟีเจอร์สินค้า,3,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",มากกว่า 5 ชั่วโมง,จำเป็น,Vivo,ฟีเจอร์สินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน","Instagram, YouTube, Facebook Messenger, TikTok",3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ราคา,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"15,001 - 20,000 บาท",เจ้าของธุรกิจ/ธุรกิจส่วนตัว
หญิง,18-25 ปี,โสด,ดูหนัง / ฟังเพลง,"Instagram, YouTube, TikTok",3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,ดูหนัง / ฟังเพลง,Instagram,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Realme,ฟีเจอร์สินค้า,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1 - 3 ชั่วโมง,จำเป็นมากที่สุด,เครื่องคิดเลข,ฟีเจอร์สินค้า,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"15,001 - 20,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",มากกว่า 5 ชั่วโมง,จำเป็น,Samsung,รีวิวสินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
